attentional_control,deliberate_mind_wandering,spontaneous_mind_wandering,mindfulness_observing,mindfulness_describing,mindfulness_present_awareness,mindfulness_nonjudging,mindfulness_nonreacting,anxiety,depression,need_to_control_thoughts
66,4,3.333,22,35,19,22,16,4,5,2.333333333
49,4,4.333,20,29,15,26,20,4,2,2.333333333
51,3.667,2.667,24,30,17,28,23,2,2,1.333333333
58,3,2.333,24,34,13,17,21,2,2,2
43,4.333,4.667,26,22,13,17,17,3,8,1
47,4.333,3.667,23,26,14,23,21,2,2,1
37,2,2.333,15,25,12,19,18,7,8,2
39,3.333,3.667,22,25,16,23,21,6,5,1.333333333
38,3,1.667,26,20,18,16,17,8,3,2.333333333
46,3.667,3,16,21,14,19,19,2,0,2
41,4.333,4.333,20,18,12,16,17,4,5,2
56,4.333,3.333,27,35,17,21,22,3,0,1
57,4.667,2.667,21,20,17,13,23,1,3,3.666666667
35,4,3.667,23,26,15,27,16,5,1,2
42,5,2.667,24,28,16,19,15,3,6,1.666666667
45,3.667,2.333,17,32,15,19,19,2,1,1.666666667
45,3.333,3,21,26,15,22,16,7,2,1.666666667
48,1,4,24,27,20,21,27,7,4,1
42,2.333,4,20,30,16,17,16,3,7,1.666666667
39,4,4.333,24,33,15,23,18,4,3,1
64,2.333,2,21,35,16,14,14,6,3,2.666666667
40,4,5,23,16,12,15,11,3,7,2.333333333
39,2,2.667,24,23,12,15,17,7,7,3
39,3,2.667,20,32,20,22,19,6,2,1.333333333
42,4,4.333,20,31,13,14,18,2,4,2.333333333
50,4.333,4.667,29,30,20,26,19,6,4,1
48,3.333,3.667,15,29,17,20,18,5,1,1.666666667
43,4.333,2,23,26,20,19,23,4,6,3
51,3.667,3,24,39,13,27,20,1,0,1
55,4,3.667,22,39,14,16,24,1,5,1.666666667
50,4.333,3.667,24,34,20,23,15,3,3,1.333333333
40,3.667,4,21,28,13,17,18,5,5,2.333333333
55,4,3.333,19,28,18,14,18,5,8,2
54,1.333,1.667,26,31,21,24,17,2,1,1
40,4.667,4,25,21,16,14,15,5,4,2.333333333
48,3.333,3.667,23,34,17,22,21,5,9,2.666666667
49,2.667,3,21,28,19,28,19,2,0,1.333333333
38,5,4.667,26,38,15,12,13,5,9,2.333333333
48,3.667,3.667,21,29,14,20,20,1,4,1.666666667
49,4.667,2.667,25,26,17,22,23,4,4,1.666666667
52,3.667,2.667,25,32,20,20,23,0,3,1.666666667
40,4.333,4.667,15,28,19,25,20,6,3,1.333333333
48,4.667,3.667,15,31,18,26,16,1,3,1
44,3.667,2.333,27,33,20,23,18,0,3,1.333333333
50,3.333,2.667,21,32,15,21,21,1,1,3
62,4.333,2,27,40,22,14,26,3,3,2.333333333
40,3.333,3.333,17,15,14,13,21,4,12,2.666666667
48,3,3,22,31,19,17,19,2,2,2.333333333
51,4,3.667,22,27,20,22,19,1,0,1.666666667
53,3.333,1.333,19,36,15,23,21,4,1,1
50,3.667,2.333,25,31,19,23,20,3,1,1.333333333
45,2.667,3.667,19,19,14,25,18,0,1,1.333333333
51,3.667,3,22,26,20,26,13,2,2,2.333333333
47,3.667,2.667,20,39,14,24,19,2,1,2
54,3.667,2.667,23,14,12,16,14,5,15,3
45,4.667,2.667,28,25,19,12,23,6,2,2.333333333
53,3.333,4.333,24,31,16,21,17,4,5,2
56,4,2.333,29,33,21,25,17,1,3,1.666666667
50,3,1,24,20,18,29,20,0,0,1.666666667
48,2,2,24,28,18,24,20,0,1,2.333333333
53,4,4,24,28,16,25,18,4,1,1
48,3,3.667,20,35,22,25,18,5,4,1.666666667
64,3.333,3.333,20,18,16,23,29,0,0,2.333333333
52,1,1.667,21,31,14,20,20,4,9,2.333333333
55,3.667,2.667,21,32,17,24,21,7,2,1
46,2.333,2.333,20,24,20,28,18,4,1,1.666666667
59,4.667,4.333,26,37,18,18,16,5,0,1
50,1.333,1.667,23,29,22,28,18,2,1,1.666666667
48,3.667,3.667,20,33,17,20,22,2,3,1.666666667
42,1.333,1.333,23,30,20,22,17,5,5,2.333333333
58,3.333,2,25,32,15,21,20,1,1,1.666666667
35,3.667,3,21,21,19,15,19,1,5,2.333333333
30,2.667,4,17,30,13,14,14,6,7,1.333333333
57,4.667,2.667,27,33,18,19,22,6,2,2.666666667
43,2.333,2.333,23,30,17,21,23,1,1,2.666666667
40,5,4.667,19,30,12,28,19,3,3,1.666666667
50,2.667,1.667,12,31,20,28,6,1,2,1
50,3.667,3.667,23,25,15,26,21,1,1,2
56,4.333,4.333,22,32,17,20,19,4,1,2.333333333
